"","Univers","n"
"315","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ярославский государственный медицинский университет&quot; Министерства здравоохранения Российской Федерации",1
"316","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ярославский государственный педагогический университет им. К.Д. Ушинского&quot;",5
"317","федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ярославский государственный университет им. П.Г. Демидова&quot;",6
"318","федеральное государственное бюджетное образовательное учреждение высшего образования Донской государственный технический университет",8
"319","Федеральное государственное бюджетное образовательное учреждение дополнительного профессионального образования «Институт повышения квалификации Федерального медико-биологического агентства»",1
"320","Федеральное государственное бюджетное образовательное учреждение дополнительного профессионального образования &quot;Российская медицинская академия непрерывного профессионального образования&quot; Министерства здравоохранения Российской Федерации",5
"321","Федеральное государственное бюджетное учреждение «Детский научно-клинический центр инфекционных болезней Федерального медико-биологического агентства».",4
"322","федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр имени академика Е.Н. Мешалкина» Министерства здравоохранения Российской Федерации",10
"323","федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр психиатрии и неврологии имени В.М. Бехтерева» Министерства здравоохранения Российской Федерации",1
"324","Федеральное государственное бюджетное учреждение «Федеральный Сибирский научно-клинический центр Федерального медико-биологического агентства»",1
"325","федеральное государственное бюджетное учреждение &quot;Арктический и антарктический научно-исследовательский институт&quot;",3
"326","Федеральное государственное бюджетное учреждение &quot;Всероссийский научно-исследовательский геологический институт им. А.П. Карпинского&quot;",1
"327","федеральное государственное бюджетное учреждение &quot;Всероссийский научно-исследовательский институт геологии и минеральных ресурсов Мирового океана имени академика И.С.Грамберга&quot;",3
"328","Федеральное государственное бюджетное учреждение &quot;Гидрометеорологический научно-исследовательский центр Российской Федерации&quot;",2
"329","Федеральное государственное бюджетное учреждение &quot;Главная геофизическая обсерватория им. А.И.Воейкова&quot;",2
"330","федеральное государственное бюджетное учреждение &quot;Государственный гидрологический институт&quot;",2
"331","Федеральное государственное бюджетное учреждение &quot;Государственный научно-исследовательский институт генетики и селекции промышленных микроорганизмов Национального исследовательского центра &quot;Курчатовский институт&quot;",3
"332","Федеральное государственное бюджетное учреждение &quot;Государственный научный центр &quot;Институт иммунологии&quot; Федерального медико-биологического агентства",11
"333","федеральное государственное бюджетное учреждение &quot;Государственный научный центр дерматовенерологии и косметологии&quot; Министерства здравоохранения Российской Федерации",1
"334","федеральное государственное бюджетное учреждение &quot;Государственный научный центр Российской Федерации - Федеральный медицинский биофизический центр имени А.И. Бурназяна&quot;",2
"335","федеральное государственное бюджетное учреждение &quot;Государственный океанографический институт имени Н.Н.Зубова&quot;",1
"336","федеральное государственное бюджетное учреждение &quot;Институт теоретической и экспериментальной физики имени А.И. Алиханова Национального исследовательского центра &quot;Курчатовский институт&quot;",18
"337","федеральное государственное бюджетное учреждение &quot;Институт физики высоких энергий имени А.А. Логунова Национального исследовательского центра &quot;Курчатовский институт&quot;",2
"338","Федеральное государственное бюджетное учреждение &quot;Кроноцкий государственный природный биосферный заповедник&quot;",1
"339","Федеральное государственное бюджетное учреждение &quot;Научно-исследовательский институт гриппа имени А.А. Смородинцева&quot; Министерства здравоохранения Российской Федерации",4
"340","федеральное государственное бюджетное учреждение &quot;Национальный исследовательский центр эпидемиологии и микробиологии имени почетного академика Н.Ф. Гамалеи&quot; Министерства здравоохранения Российской Федерации",7
"341","федеральное государственное бюджетное учреждение &quot;Национальный исследовательский центр&quot;Курчатовский институт&quot;",43
"342","федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр гематологии&quot; Министерства здравоохранения Российской Федерации",4
"343","федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр имени В.А. Алмазова&quot; Министерства здравоохранения Российской Федерации",17
"344","Федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр кардиологии&quot; Министерства здравоохранения Российской Федерации",12
"345","федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр онкологии имени Н.Н. Петрова&quot; Министерства здравоохранения Российской Федерации",14
"346","Федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр онкологии имени Н.Н.Блохина&quot; Министерства здравоохранения Российской Федерации",17
"347","Федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр профилактической медицины&quot; Министерства здравоохранения Российской Федерации",1
"348","федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр психиатрии и наркологии имени В.П.Сербского&quot; Министерства здравоохранения Российской Федерации",4
"349","федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр радиологии&quot; Министерства здравоохранения Российской Федерации",6
"350","Федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр сердечно-сосудистой хирургии им. А. Н. Бакулева&quot; Министерства здравоохранения Российской Федерации",4
"351","федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр трансплантологии и искусственных органов имени академика В.И. Шумакова&quot; Министерства здравоохранения Российской Федерации",2
"352","Федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр хирургии им. А. В. Вишневского&quot; Министерства здравоохранения Российской Федерации",1
"353","федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр эндокринологии&quot; Министерства здравоохранения Российской Федерации",10
"354","федеральное государственное бюджетное учреждение &quot;Петербургский институт ядерной физики им. Б.П. Константинова Национального исследовательского центра &quot;Курчатовский институт&quot;",21
"355","федеральное государственное бюджетное учреждение &quot;Российский научный центр &quot;Восстановительная травматология и ортопедия&quot; имени академика Г.А. Илизарова&quot; Министерства здравоохранения Российской Федерации",1
"356","федеральное государственное бюджетное учреждение &quot;Федеральный научно-клинический центр специализированных видов медицинской помощи и медицинских технологий Федерального медико-биологического агентства&quot;",2
"357","Федеральное государственное бюджетное учреждение &quot;Федеральный научно-клинический центр физико-химической медицины Федерального медико-биологического агентства&quot;",29
"358","федеральное государственное бюджетное учреждение &quot;Центральная клиническая больница с поликлиникой&quot; Управления делами Президента Российской Федерации",1
"359","федеральное государственное бюджетное учреждение &quot;Центральный научно-исследовательский институт организации и информатизации здравоохранения&quot; Министерства здравоохранения Российской Федерации",1
"360","федеральное государственное бюджетное учреждение &quot;Центральный научно-исследовательский институт стоматологии и челюстно-лицевой хирургии&quot; Министерства здравоохранения Российской Федерации",2
"361","федеральное государственное бюджетное учреждение высшего образования и науки &quot;Санкт-Петербургский национальный исследовательский Академический университет имени Ж.И. Алферова Российской академии наук&quot;",5
"362","федеральное государственное бюджетное учреждение высшего образования и науки &quot;Санкт-Петербургский национальный исследовательский Академический университет Российской академии наук&quot;",13
"363","Федеральное государственное бюджетное учреждение культуры &quot;Государственный исторический музей&quot;",1
"364","федеральное государственное бюджетное учреждение культуры &quot;Государственный Эрмитаж&quot;",1
"365","Федеральное государственное бюджетное учреждение науки “Крымская астрофизическая обсерватория РАН”",4
"366","Федеральное государственное бюджетное учреждение науки «Вологодский научный центр Российской академии наук»",2
"367","Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Казанский научный центр Российской академии наук»",28
"368","Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Пущинский научный центр биологических исследований Российской академии наук»",26
"369","Федеральное государственное бюджетное учреждение науки «Федеральный научный центр Биоразнообразия наземной биоты Восточной Азии» Дальневосточного отделения Российской академии наук",10
"370","Федеральное государственное бюджетное учреждение науки &quot;Институт горного дела им. Н.А. Чинакала&quot; Сибирского отделения Российской академии наук",6
"371","Федеральное государственное бюджетное учреждение науки &quot;Институт прикладной математики Дальневосточного отделения Российской академии наук&quot;",1
"372","Федеральное государственное бюджетное учреждение науки &quot;Институт физики им. Х.И. Амирханова&quot; Дагестанского научного центра Российской академии наук",1
"373","Федеральное государственное бюджетное учреждение науки &quot;Калмыцкий научный центр Российской академии наук&quot;",1
"374","федеральное государственное бюджетное учреждение науки &quot;Морской гидрофизический институт РАН&quot;",4
"375","Федеральное государственное бюджетное учреждение науки &quot;Национальный научный центр морской биологии им. А.В. Жирмунского&quot; Дальневосточного отделения Российской академии наук",5
"376","федеральное государственное бюджетное учреждение науки &quot;Ордена Трудового Красного Знамени Никитский ботанический сад - Национальный научный центр РАН&quot;",4
"377","Федеральное государственное бюджетное учреждение науки &quot;Удмуртский федеральный исследовательский центр Уральского отделения Российской академии наук&quot;",3
"378","Федеральное государственное бюджетное учреждение науки &quot;Федеральный исследовательский центр &quot;Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук&quot;",10
"379","Федеральное государственное бюджетное учреждение науки &quot;Федеральный исследовательский центр &quot;Казанский научный центр Российской академии наук&quot;",38
"380","Федеральное государственное бюджетное учреждение науки &quot;Федеральный исследовательский центр Южный научный центр Российской академии наук&quot;",9
"381","Федеральное государственное бюджетное учреждение науки Архив Российской академии наук",2
"382","федеральное государственное бюджетное учреждение науки Байкальский институт природопользования Сибирского отделения Российской академии наук",2
"383","Федеральное государственное бюджетное учреждение науки Ботанический институт им. В.Л. Комарова Российской академии наук",6
"384","Федеральное государственное бюджетное учреждение науки Ботанический сад-институт Дальневосточного отделения Российской академии наук",1
"385","федеральное государственное бюджетное учреждение науки Геологический институт Российской академии наук",10
"386","Федеральное государственное бюджетное учреждение науки Геофизический центр Российской академии наук",7
"387","федеральное государственное бюджетное учреждение науки Главная (Пулковская) астрономическая обсерватория Российской академии наук",2
"388","федеральное государственное бюджетное учреждение науки Государственный научный центр Российской Федерации - Институт медико-биологических проблем Российской академии наук",15
"389","федеральное государственное бюджетное учреждение науки Дальневосточный геологический институт Дальневосточного отделения Российской академии наук",4
"390","Федеральное государственное бюджетное учреждение науки Зоологический институт Российской академии наук",11
"391","Федеральное государственное бюджетное учреждение науки Институт &quot;Международный томографический центр&quot; Сибирского отделения Российской академии наук",23
"392","Федеральное государственное бюджетное учреждение науки Институт автоматизации проектирования Российской академии наук",8
"393","Федеральное государственное бюджетное учреждение науки Институт автоматики и процессов управления Дальневосточного отделения Российской академии наук",14
"394","Федеральное государственное бюджетное учреждение науки Институт автоматики и электрометрии Сибирского отделения Российской академии наук",10
"395","Федеральное государственное бюджетное учреждение науки Институт аграрных проблем Российской академии наук",1
"396","федеральное государственное бюджетное учреждение науки Институт археологии и этнографии Сибирского отделения Российской академии наук",2
"397","Федеральное государственное бюджетное учреждение науки Институт археологии и этнографии Сибирского отделения Российской академии наук",5
"398","Федеральное государственное бюджетное учреждение науки Институт археологии Российской академии наук",3
"399","Федеральное государственное бюджетное учреждение науки Институт астрономии Российской академии наук",7
"400","Федеральное государственное бюджетное учреждение науки Институт Африки Российской академии наук",10
"401","федеральное государственное бюджетное учреждение науки Институт белка Российской академии наук",19
"402","Федеральное государственное бюджетное учреждение науки Институт биологии внутренних вод им. И.Д.Папанина Российской академии наук",5
"403","Федеральное государственное бюджетное учреждение науки Институт биологии гена Российской академии наук",38
"404","федеральное государственное бюджетное учреждение науки Институт биологии развития им. Н.К. Кольцова РАН",9
"405","Федеральное государственное бюджетное учреждение науки Институт биологии развития им. Н.К. Кольцова РАН",4
"406","Федеральное государственное бюджетное учреждение науки Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова Российской академии наук",90
"407","Федеральное государственное бюджетное учреждение науки Институт биофизики клетки Российской академии наук",3
"408","федеральное государственное бюджетное учреждение науки Институт биохимии и физиологии микроорганизмов им. Г.К. Скрябина Российской академии наук",3
"409","федеральное государственное бюджетное учреждение науки Институт биохимии и физиологии растений и микроорганизмов Российской академии наук",10
"410","Федеральное государственное бюджетное учреждение науки Институт биохимической физики им. Н.М. Эмануэля Российской академии наук",15
"411","Федеральное государственное бюджетное учреждение науки Институт водных проблем Российской академии наук",13
"412","федеральное государственное бюджетное учреждение науки Институт востоковедения Российской академии наук",4
"413","федеральное государственное бюджетное учреждение науки Институт восточных рукописей Российской академии наук",1
"414","Федеральное государственное бюджетное учреждение науки Институт всеобщей истории Российской академии наук",16
"415","федеральное государственное бюджетное учреждение науки Институт вулканологии и сейсмологии Дальневосточного отделения Российской академии наук",6
"416","Федеральное государственное бюджетное учреждение науки Институт высокомолекулярных соединений Российской академии наук",16
"417","Федеральное государственное бюджетное учреждение науки Институт высокотемпературной электрохимии Уральского отделения Российской академии наук",12
"418","федеральное государственное бюджетное учреждение науки Институт высшей нервной деятельности и нейрофизиологии Российской академии наук",8
"419","Федеральное государственное бюджетное учреждение науки Институт высшей нервной деятельности и нейрофизиологии Российской академии наук",6
"420","федеральное государственное бюджетное учреждение науки Институт вычислительной математики и математической геофизики Сибирского отделения Российской академии наук",9
"421","Федеральное государственное бюджетное учреждение науки Институт вычислительной математики и математической геофизики Сибирского отделения Российской академии наук",6
"422","Федеральное государственное бюджетное учреждение науки Институт вычислительной математики им. Г.И. Марчука Российской академии наук",20
"423","Федеральное государственное бюджетное учреждение науки Институт вычислительных технологий Сибирского отделения Российской академии наук",8
"424","федеральное государственное бюджетное учреждение науки Институт географии Российской Академии наук",23
"425","федеральное государственное бюджетное учреждение науки Институт геологии алмаза и благородных металлов Сибирского отделения Российской академии наук",1
"426","федеральное государственное бюджетное учреждение науки Институт геологии и геохимии им. академика А.Н. Заварицкого Уральского отделения Российской академии наук",4
"427","федеральное государственное бюджетное учреждение науки Институт геологии и геохронологии докембрия Российской академии наук",6
"428","Федеральное государственное бюджетное учреждение науки Институт геологии и минералогии им. В.С.Соболева Сибирского отделения Российской академии наук",9
"429","федеральное государственное бюджетное учреждение науки Институт геологии и минералогии им. В.С.Соболева Сибирского отделения Российской академии наук (ИГМ СО РАН)",26
"430","федеральное государственное бюджетное учреждение науки Институт геологии и природопользования Дальневосточного отделения Российской академии наук",1
"431","Федеральное государственное бюджетное учреждение науки Институт геологии имени академика Н.П. Юшкина Коми научного центра Уральского отделения Российской академии наук",1
"432","Федеральное государственное бюджетное учреждение науки Институт геофизики им. Ю. П. Булашевича Уральского отделения Российской академии наук",1
"433","Федеральное государственное бюджетное учреждение науки Институт геохимии им. А.П.Виноградова Сибирского отделения Российской академии наук",3
"434","Федеральное государственное бюджетное учреждение науки Институт геоэкологии им. Е.М. Сергеева Российской академии наук",5
"435","Федеральное государственное бюджетное учреждение науки Институт гидродинамики им. М.А. Лаврентьева Сибирского отделения Российской академии наук",13
"436","Федеральное государственное бюджетное учреждение науки Институт горного дела Дальневосточного отделения Российской академии наук (ИГД ДВО РАН)",1
"437","федеральное государственное бюджетное учреждение науки Институт гуманитарных исследований и проблем малочисленных народов Севера Сибирского отделения Российской академии наук",1
"438","Федеральное государственное бюджетное учреждение науки Институт Дальнего Востока Российской академии наук",1
"439","Федеральное государственное бюджетное учреждение науки Институт динамики геосфер Российской академии наук",6
"440","федеральное государственное бюджетное учреждение науки Институт динамики систем и теории управления имени В.М. Матросова Сибирского отделения Российской академии наук",7
"441","федеральное государственное бюджетное учреждение науки Институт земной коры Сибирского отделения Российской академии наук",11
"442","Федеральное государственное бюджетное учреждение науки Институт Иммунологии и Физиологии Уральского отделения Российской Академиии Наук",3
"443","федеральное государственное бюджетное учреждение науки Институт истории и археологии Уральского отделения Российской академии наук",4
"444","Федеральное государственное бюджетное учреждение науки Институт истории и археологии Уральского отделения Российской академии наук",3
"445","федеральное государственное бюджетное учреждение науки Институт истории материальной культуры Российской академии наук",3
"446","федеральное государственное бюджетное учреждение науки Институт истории Сибирского отделения Российской академии наук",1
"447","Федеральное государственное бюджетное учреждение науки Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук",36
"448","Федеральное государственное бюджетное учреждение науки Институт космических исследований Российской академии наук",36
"449","федеральное государственное бюджетное учреждение науки Институт космофизических исследований и аэрономии им. Ю.Г.Шафера Сибирского отделения Российской академии наук",1
"450","Федеральное государственное бюджетное учреждение науки Институт космофизических исследований и распространения радиоволн Дальневосточного отделения Российской академии наук",3
"451","Федеральное государственное бюджетное учреждение науки Институт лазерной физики Сибирского отделения Российской академии наук",5
"452","федеральное государственное бюджетное учреждение науки Институт Латинской Америки Российской академии наук",1
"453","Федеральное государственное бюджетное учреждение науки Институт леса Карельского научного центра Российской академии наук",1
"454","федеральное государственное бюджетное учреждение науки Институт лесоведения Российской академии наук",1
"455","Федеральное государственное бюджетное учреждение науки Институт лесоведения Российской академии наук",2
"456","федеральное государственное бюджетное учреждение науки Институт лингвистических исследований Российской академии наук",10
"457","Федеральное государственное бюджетное учреждение науки Институт математики и механики им.Н.Н.Красовского Уральского отделения Российской академии наук",14
"458","федеральное государственное бюджетное учреждение науки Институт математики им. С. Л. Соболева Сибирского отделения Российской академии наук",19
"459","Федеральное государственное бюджетное учреждение науки Институт материаловедения Хабаровского научного центра Дальневосточного отделения Российской академии наук",1
"460","Федеральное государственное бюджетное учреждение науки Институт машиноведения им. А.А. Благонравова Российской академии наук",10
"461","Федеральное государственное бюджетное учреждение науки Институт машиноведения Уральского отделения Российской академии наук",4
"462","федеральное государственное бюджетное учреждение науки Институт мерзлотоведения им. П.И. Мельникова Сибирского отделения Российской академии наук",1
"463","Федеральное государственное бюджетное учреждение науки Институт металлоорганической химии им. Г.А. Разуваева Российской академии наук",30
"464","федеральное государственное бюджетное учреждение науки Институт металлургии и материаловедения им. А.А. Байкова Российской академии наук",14
"465","федеральное государственное бюджетное учреждение науки Институт металлургии Уральского отделения Российской академии наук",5
"466","федеральное государственное бюджетное учреждение науки Институт минералогии Уральского отделения Российской академии наук",2
"467","федеральное государственное бюджетное учреждение науки Институт мировой литературы им. А.М. Горького Российской академии наук",7
"468","Федеральное государственное бюджетное учреждение науки Институт мозга человека им. Н.П. Бехтеревой Российской академии наук",5
"469","федеральное государственное бюджетное учреждение науки Институт молекулярной биологии им. В.А. Энгельгардта Российской академии наук",67
"470","Федеральное государственное бюджетное учреждение науки Институт молекулярной генетики Российской академии наук",20
"471","Федеральное государственное бюджетное учреждение науки Институт молекулярной и клеточной биологии Сибирского отделения Российской академии наук",14
"472","федеральное государственное бюджетное учреждение науки Институт мониторинга климатических и экологических систем Сибирского отделения Российской академии наук",3
"473","Федеральное государственное бюджетное учреждение науки Институт народнохозяйственного прогнозирования Российской академии наук",1
"474","федеральное государственное бюджетное учреждение науки Институт научной информации по общественным наукам РАН",3
